Xline,Longitude_start,Longitude_end,Latitude_start,Latitude_end
2383,-130.040745615049,-129.833716464098,45.890898546571,45.957989734305
2408,-130.042446683195,-129.835410185972,45.893447832218,45.960542123222
2414,-130.042854962956,-129.835816702562,45.894059656639,45.961154692500
2444,-130.044896497682,-129.837849421056,45.897118754727,45.964217515291
2447,-130.045100663615,-129.838052705331,45.897424662334,45.964523795406
2475,-130.047006321597,-129.839950134200,45.900279780695,45.967382390851
2485,-130.047686961575,-129.840627835075,45.901299457371,45.968403309490
2502,-130.048844107333,-129.841779984198,45.903032897508,45.970138861141
