Inline,Longitude_start,Longitude_end,Latitude_start,Latitude_end
254,-129.8800314244551,-130.0975642800302,45.7716640417889,46.0979700098038
257,-129.8787186850675,-130.0962455761911,45.7720897908666,46.0983982886763
260,-129.8774059255243,-130.0949268517105,45.7725155249746,46.0988265524827
261,-129.8769683345310,-130.0944872722967,45.7726574330172,46.0989693037367
268,-129.8739051348734,-130.0914101521850,45.7736507427388,46.0999685156381
273,-129.8717170679367,-130.0892121404476,45.7743601997758,46.1006821881966
276,-129.8704042009029,-130.0878933058858,45.7747858540338,46.1011103716390
283,-129.8673407661176,-130.0848159449789,45.7757789890690,46.1021094077294
292,-129.8634019030315,-130.0808591729930,45.7770557571655,46.1033937621253
